Protein.Group,Protein.Names,Genes,First.Protein.Description,D:\2025NK010\2025NK010_EVCO_001_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_002_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_003_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_004_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_005_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_006_01_500ng.raw
O75477,ERLN1_HUMAN,ERLIN1,Erlin-1,87970.2,,,112388,,202019
O75487,GPC4_HUMAN,GPC4,Glypican-4,2.64E+06,1.01E+07,2.69E+06,6.53E+06,3.65E+06,1.68E+06
O75489,NDUS3_HUMAN,NDUFS3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",259198,,,199438,,705461
O75493,CAH11_HUMAN,CA11,Carbonic anhydrase-related protein 11,106795,,90617.6,88001.3,,109054
O75494,SRS10_HUMAN,SRSF10,Serine/arginine-rich splicing factor 10,1.12E+08,7.71E+07,3.08E+07,4.06E+07,4.74E+07,4.03E+07
O75503,CLN5_HUMAN,CLN5,Bis(monoacylglycero)phosphate synthase CLN5,4.62E+06,5.01E+06,5.47E+06,1.62E+06,4.18E+06,1.74E+06
O75506,HSBP1_HUMAN,HSBP1,Heat shock factor-binding protein 1,7.16E+06,5.00E+06,8.68E+06,6.89E+06,8.31E+06,7.07E+06
O75521,ECI2_HUMAN,ECI2,Enoyl-CoA delta isomerase 2,172965,743757,79117,30162,,54223
O75525,KHDR3_HUMAN,KHDRBS3,"KH domain-containing, RNA-binding, signal transduction-associated protein 3",335231,,,275821,,293264
O75528,TADA3_HUMAN,TADA3,Transcriptional adapter 3,1974.11,,,,1795.09,
O75530,EED_HUMAN,EED,Polycomb protein EED,,,,39752.7,44443,
O75531,BAF_HUMAN,BANF1,Barrier-to-autointegration factor,642937,4.57E+06,1.55E+06,4.75E+06,2.61E+06,3.89E+06
O75533,SF3B1_HUMAN,SF3B1,Splicing factor 3B subunit 1,4.03E+06,1.67E+06,1.41E+06,2.70E+06,2.76E+06,2.14E+06
O75534,CSDE1_HUMAN,CSDE1,Cold shock domain-containing protein E1,1.06E+07,9.66E+06,1.05E+07,1.48E+07,1.52E+07,1.38E+07
O75554,WBP4_HUMAN,WBP4,WW domain-binding protein 4,482449,,269695,349794,,91522.2
O75556,SG2A1_HUMAN,SCGB2A1,Mammaglobin-B,2.39E+07,2.08E+08,1.47E+07,2.29E+07,2.89E+07,2.03E+06
O75563,SKAP2_HUMAN,SKAP2,Src kinase-associated phosphoprotein 2,102168,313942,67385.7,116350,120488,62845.1
O75569,PRKRA_HUMAN,PRKRA,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,1.62E+06,,2.41E+06,3.04E+06,2.22E+06,2.55E+06
O75575,RPC9_HUMAN,CRCP,DNA-directed RNA polymerase III subunit RPC9,13723.4,31538.3,13929.6,12138.4,,30594.6
O75582,KS6A5_HUMAN,RPS6KA5,Ribosomal protein S6 kinase alpha-5,524157,,584042,440444,517251,403994
O75592,MYCB2_HUMAN,MYCBP2,E3 ubiquitin-protein ligase MYCBP2,90615.2,,70419.8,69413.7,104960,111693
O75594,PGRP1_HUMAN,PGLYRP1,Peptidoglycan recognition protein 1,223366,5.49E+06,312514,510233,705033,760732
O75602,SPAG6_HUMAN,SPAG6,Sperm-associated antigen 6,,,6028.77,,9511.12,
O75607,NPM3_HUMAN,NPM3,Nucleoplasmin-3,1.14E+06,1.63E+06,787275,2.07E+06,1.45E+06,600543
O75608,LYPA1_HUMAN,LYPLA1,Acyl-protein thioesterase 1,1.17E+07,1.27E+07,1.38E+07,1.54E+07,1.40E+07,1.02E+07
O75610,LFTY1_HUMAN,LEFTY1,Left-right determination factor 1,1.05E+06,,547312,606455,2.33E+07,1.48E+06
O75628,REM1_HUMAN,REM1,GTP-binding protein REM 1,75143.5,,125330,,,80946.4
O75629,CREG1_HUMAN,CREG1,Protein CREG1,1.47E+06,4.71E+06,5.88E+06,917240,1.72E+06,1.18E+06
O75635,SPB7_HUMAN,SERPINB7,Serpin B7,24622.8,60235.7,,10771.2,,
O75636,FCN3_HUMAN,FCN3,Ficolin-3,3.01E+07,6.75E+07,4.78E+07,2.61E+07,8.51E+07,3.63E+07
O75643,U520_HUMAN,SNRNP200,U5 small nuclear ribonucleoprotein 200 kDa helicase,2.89E+06,2.25E+06,887651,1.57E+06,2.19E+06,1.74E+06
O75663,TIPRL_HUMAN,TIPRL,TIP41-like protein,6.33E+06,5.93E+06,6.84E+06,5.92E+06,5.88E+06,5.72E+06
O75665,OFD1_HUMAN,OFD1,Centriole and centriolar satellite protein OFD1,1220.69,,24624.2,2754.61,7393.9,
O75674,TM1L1_HUMAN,TOM1L1,TOM1-like protein 1,682989,886179,4.71E+06,817651,938282,630145
O75676,KS6A4_HUMAN,RPS6KA4,Ribosomal protein S6 kinase alpha-4,67745.3,,,40915.1,,73731.3
O75683,SURF6_HUMAN,SURF6,Surfeit locus protein 6,546365,,1.03E+06,,,
O75688,PPM1B_HUMAN,PPM1B,Protein phosphatase 1B,6.55E+06,1.00E+07,6.02E+06,7.96E+06,7.51E+06,6.99E+06
O75691,UTP20_HUMAN,UTP20,Small subunit processome component 20 homolog,,,,,7105.75,4997.08
O75694,NU155_HUMAN,NUP155,Nuclear pore complex protein Nup155,8845.74,,,3548.08,2840.37,8328.37
O75695,XRP2_HUMAN,RP2,Protein XRP2,1.34E+06,3.55E+06,3.69E+06,1.20E+06,1.49E+06,1.15E+06
O75717,WDHD1_HUMAN,WDHD1,WD repeat and HMG-box DNA-binding protein 1,2.61E+06,,1.67E+06,3.29E+06,,
O75718,CRTAP_HUMAN,CRTAP,Cartilage-associated protein,673835,,,210251,,771194
O75752,B3GL1_HUMAN,B3GALNT1,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1",3982.98,,9636.11,4204.06,4229.97,3947.68
O75781,PALM_HUMAN,PALM,Paralemmin-1,607780,809867,1.68E+06,145972,584895,1.01E+06
O75787,RENR_HUMAN,ATP6AP2,Renin receptor,1.14E+06,2.20E+06,703101,1.73E+06,1.49E+06,1.16E+06
O75791,GRAP2_HUMAN,GRAP2,GRB2-related adapter protein 2,384083,,,236278,278076,214733
O75792,RNH2A_HUMAN,RNASEH2A,Ribonuclease H2 subunit A,155409,,192859,304081,363270,263664
O75794,CD123_HUMAN,CDC123,Translation initiation factor eIF2 assembly protein,9830.98,,18689.7,18972.3,30996.6,31105.6
O75800,ZMY10_HUMAN,ZMYND10,Zinc finger MYND domain-containing protein 10,222555,,793973,167433,1.34E+06,324877
O75815,BCAR3_HUMAN,BCAR3,Breast cancer anti-estrogen resistance protein 3,,,,479015,,
O75817,POP7_HUMAN,POP7,Ribonuclease P protein subunit p20,4802.53,,,7793.22,8443.02,6929.96
O75818,RPP40_HUMAN,RPP40,Ribonuclease P protein subunit p40,285661,,,314599,453772,238841
O75821,EIF3G_HUMAN,EIF3G,Eukaryotic translation initiation factor 3 subunit G,9.07E+06,4.93E+06,6.96E+06,1.14E+07,1.24E+07,1.18E+07
O75822,EIF3J_HUMAN,EIF3J,Eukaryotic translation initiation factor 3 subunit J,7.83E+06,1.38E+07,7.58E+06,1.00E+07,9.58E+06,7.94E+06
O75828,CBR3_HUMAN,CBR3,Carbonyl reductase [NADPH] 3,3.88E+06,5.57E+06,5.95E+06,1.41E+06,1.76E+06,3.49E+06
O75832,PSD10_HUMAN,PSMD10,26S proteasome non-ATPase regulatory subunit 10,6.43E+06,1.01E+07,5.68E+06,5.78E+06,6.13E+06,5.81E+06
O75843,AP1G2_HUMAN,AP1G2,AP-1 complex subunit gamma-like 2,162861,,91682.8,192085,257617,93391.2
O75844,FACE1_HUMAN,ZMPSTE24,CAAX prenyl protease 1 homolog,354683,,,227524,321120,1.18E+06
O75864,PPR37_HUMAN,PPP1R37,Protein phosphatase 1 regulatory subunit 37,,,,127331,,
O75874,IDHC_HUMAN,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic,6.13E+07,1.04E+08,5.93E+07,7.34E+07,1.10E+08,5.42E+07
O75882,ATRN_HUMAN,ATRN,Attractin,2.59E+07,5.38E+07,1.68E+08,2.18E+07,5.25E+07,3.11E+07
O75884,RBBP9_HUMAN,RBBP9,Serine hydrolase RBBP9,1.55E+07,1.06E+07,1.03E+07,7.87E+06,4.82E+06,8.71E+06
O75886,STAM2_HUMAN,STAM2,Signal transducing adapter molecule 2,2.07E+06,1.72E+06,2.30E+06,2.09E+06,2.11E+06,2.01E+06
O75888,TNF13_HUMAN,TNFSF13,Tumor necrosis factor ligand superfamily member 13,20281.2,,,17032.6,49651.3,34694.5
O75891,AL1L1_HUMAN,ALDH1L1,Cytosolic 10-formyltetrahydrofolate dehydrogenase,7.77E+06,8.33E+06,2.24E+07,2.05E+06,4.14E+06,9.23E+06
O75909,CCNK_HUMAN,CCNK,Cyclin-K,28429.1,,22123.8,22135.7,24681.5,20331
O75911,DHRS3_HUMAN,DHRS3,Short-chain dehydrogenase/reductase 3,20559.5,,,12706.7,37544.8,23068.2
O75915,PRAF3_HUMAN,ARL6IP5,PRA1 family protein 3,2.18E+06,2.63E+06,,3.49E+06,3.04E+06,5.26E+06
O75934,SPF27_HUMAN,BCAS2,Pre-mRNA-splicing factor SPF27,1.12E+06,3.26E+06,701433,809985,1.50E+06,1.57E+06
O75935,DCTN3_HUMAN,DCTN3,Dynactin subunit 3,1.28E+07,1.44E+07,1.75E+07,1.90E+07,1.57E+07,1.83E+07
O75937,DNJC8_HUMAN,DNAJC8,DnaJ homolog subfamily C member 8,1.59E+07,1.15E+07,1.46E+07,1.26E+07,1.16E+07,1.45E+07
O75940,SPF30_HUMAN,SMNDC1,Survival of motor neuron-related-splicing factor 30,988471,557163,1.17E+06,1.04E+06,1.08E+06,1.19E+06
O75947,ATP5H_HUMAN,ATP5PD,"ATP synthase subunit d, mitochondrial",74714.4,,,45739.2,22886,184096
O75954,TSN9_HUMAN,TSPAN9,Tetraspanin-9,,,1.14E+06,654279,342302,427662
O75955,FLOT1_HUMAN,FLOT1,Flotillin-1,4.64E+06,1.79E+07,2.94E+07,4.27E+06,4.18E+06,8.69E+06
O75962,TRIO_HUMAN,TRIO,Triple functional domain protein,3484.18,,12574.6,2348.31,,
O75970,MPDZ_HUMAN,MPDZ,Multiple PDZ domain protein,58875,,57689.5,27492.6,14488.4,33447
O75976,CBPD_HUMAN,CPD,Carboxypeptidase D,798591,1.41E+06,719677,923868,1.01E+06,580374
O75995,SASH3_HUMAN,SASH3,SAM and SH3 domain-containing protein 3,1.51E+06,2.92E+06,564932,998180,1.70E+06,697552
O76003,GLRX3_HUMAN,GLRX3,Glutaredoxin-3,8.09E+06,1.49E+07,7.93E+06,8.48E+06,9.52E+06,7.91E+06
O76021,RL1D1_HUMAN,RSL1D1,Ribosomal L1 domain-containing protein 1,768424,507352,895308,554671,1.94E+06,1.56E+06
O76024,WFS1_HUMAN,WFS1,Wolframin,1.75E+06,,717681,940313,904678,2.90E+06
O76031,CLPX_HUMAN,CLPX,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",,,24700.9,14953.3,,
O76054,S14L2_HUMAN,SEC14L2,SEC14-like protein 2,1.58E+06,1.85E+06,1.03E+06,1.23E+06,958724,1.29E+06
O76061,STC2_HUMAN,STC2,Stanniocalcin-2,761305,4.35E+06,3.96E+06,6.90E+06,1.50E+06,
O76070,SYUG_HUMAN,SNCG,Gamma-synuclein,175150,368933,214341,49709.7,113430,145377
O76071,CIAO1_HUMAN,CIAO1,Probable cytosolic iron-sulfur protein assembly protein CIAO1,2.41E+06,3.75E+06,2.21E+06,2.09E+06,2.36E+06,1.80E+06
O76074,PDE5A_HUMAN,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",166053,242511,310332,115063,138891,305414
O76075,DFFB_HUMAN,DFFB,DNA fragmentation factor subunit beta,412889,,817798,337296,,423577
O76080,ZFAN5_HUMAN,ZFAND5,AN1-type zinc finger protein 5,5347.74,,4427.96,3832.8,,5860.29
O76094,SRP72_HUMAN,SRP72,Signal recognition particle subunit SRP72,1.82E+06,882744,1.13E+06,949256,2.28E+06,1.89E+06
O76096,CYTF_HUMAN,CST7,Cystatin-F,6305.75,,5726.9,13843.4,5939.38,
O77932,DXO_HUMAN,DXO,Decapping and exoribonuclease protein,14033.7,,,11294.7,,6800.36
O94760,DDAH1_HUMAN,DDAH1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",4.86E+07,3.55E+07,4.39E+07,3.89E+07,4.12E+07,4.15E+07
O94763,RMP_HUMAN,URI1,Unconventional prefoldin RPB5 interactor 1,87474.4,,87672,66115.5,101536,113091
O94766,B3GA3_HUMAN,B3GAT3,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,,,,910867,,
O94768,ST17B_HUMAN,STK17B,Serine/threonine-protein kinase 17B,2637.76,,,2144.32,703.598,
O94769,ECM2_HUMAN,ECM2,Extracellular matrix protein 2,10995.4,,17842.3,7862.89,,15340.9
O94776,MTA2_HUMAN,MTA2,Metastasis-associated protein MTA2,1.28E+06,711492,429016,829960,577478,679488
O94788,AL1A2_HUMAN,ALDH1A2,Retinal dehydrogenase 2,1.19E+07,6.41E+06,5.11E+07,5.45E+06,7.50E+06,2.74E+07
O94804,STK10_HUMAN,STK10,Serine/threonine-protein kinase 10,361882,911617,320346,575366,557097,405508
O94806,KPCD3_HUMAN,PRKD3,Serine/threonine-protein kinase D3,2039.33,,2294.69,4637.76,,
O94811,TPPP_HUMAN,TPPP,Tubulin polymerization-promoting protein,112762,193847,174808,,117857,192622
O94819,KBTBB_HUMAN,KBTBD11,Kelch repeat and BTB domain-containing protein 11,321903,302182,493624,445072,143078,524629
O94822,LTN1_HUMAN,LTN1,E3 ubiquitin-protein ligase listerin,3896.32,,,4721.51,5102.1,
O94826,TOM70_HUMAN,TOMM70,Mitochondrial import receptor subunit TOM70,2.36E+06,762007,657638,1.20E+06,1.36E+06,1.41E+06
O94829,IPO13_HUMAN,IPO13,Importin-13,41249.7,,15305.9,19383.1,17319.8,16703.5
O94830,DDHD2_HUMAN,DDHD2,Triacylglycerol hydrolase DDHD2,148836,,,137089,,82018.1
O94832,MYO1D_HUMAN,MYO1D,Unconventional myosin-Id,869695,1.97E+06,5.44E+06,1.64E+06,1.72E+06,2.46E+06
O94842,TOX4_HUMAN,TOX4,TOX high mobility group box family member 4,3112.89,,7729.95,10181.8,7655.13,9008.45
O94855,SC24D_HUMAN,SEC24D,Protein transport protein Sec24D,3.19E+06,2.42E+06,2.72E+06,3.82E+06,2.82E+06,3.56E+06
O94856,NFASC_HUMAN,NFASC,Neurofascin,,,792236,1.47E+06,224641,
O94874,UFL1_HUMAN,UFL1,E3 UFM1-protein ligase 1,1.81E+06,1.11E+06,1.29E+06,2.00E+06,2.64E+06,2.46E+06
O94875,SRBS2_HUMAN,SORBS2,Sorbin and SH3 domain-containing protein 2,2.12E+06,767538,828745,1.72E+06,931505,1.06E+06
O94880,PHF14_HUMAN,PHF14,PHD finger protein 14,11558.1,,9295.79,4648.27,8962.54,
O94886,CSCL1_HUMAN,TMEM63A,CSC1-like protein 1,790324,820731,323073,356252,190630,677158
O94888,UBXN7_HUMAN,UBXN7,UBX domain-containing protein 7,996124,,1.06E+06,835870,667021,874505
O94901,SUN1_HUMAN,SUN1,SUN domain-containing protein 1,4025.3,,,,4973.99,
O94903,PLPHP_HUMAN,PLPBP,Pyridoxal phosphate homeostasis protein,6.06E+06,8.56E+06,6.30E+06,5.37E+06,5.18E+06,7.86E+06
O94905,ERLN2_HUMAN,ERLIN2,Erlin-2,466814,,175229,634707,603607,3.71E+06
O94906,PRP6_HUMAN,PRPF6,Pre-mRNA-processing factor 6,105347,,38398.2,44937.9,83716.7,87486.9
O94910,AGRL1_HUMAN,ADGRL1,Adhesion G protein-coupled receptor L1,6458.17,,10479.1,2128.93,,2974.51
O94911,ABCA8_HUMAN,ABCA8,ABC-type organic anion transporter ABCA8,,,,,,181186
O94913,PCF11_HUMAN,PCF11,Pre-mRNA cleavage complex 2 protein Pcf11,12605.7,,,,,
O94915,FRYL_HUMAN,FRYL,Protein furry homolog-like,163896,,400006,319918,491582,399317
O94919,ENDD1_HUMAN,ENDOD1,Endonuclease domain-containing 1 protein,234740,1.15E+06,980608,160472,251278,222682
O94925,GLSK_HUMAN,GLS,"Glutaminase kidney isoform, mitochondrial",7411.93,,,,,5868.02
O94927,HAUS5_HUMAN,HAUS5,HAUS augmin-like complex subunit 5,5789.62,,,7750.55,,
O94952,FBX21_HUMAN,FBXO21,F-box only protein 21,84156.5,,95915.2,77835.3,46975.3,79864.7
O94964,MTCL2_HUMAN,MTCL2,Microtubule cross-linking factor 2,139620,139521,254504,134306,,235151
O94966,UBP19_HUMAN,USP19,Ubiquitin carboxyl-terminal hydrolase 19,11928.9,,13620.7,13148.5,25540.6,11640.6
O94967,WDR47_HUMAN,WDR47,WD repeat-containing protein 47,1.13E+06,,,1.12E+06,1.25E+06,1.57E+06
O94973,AP2A2_HUMAN,AP2A2,AP-2 complex subunit alpha-2,1.12E+06,781783,1.74E+06,1.31E+06,1.68E+06,2.38E+06
O94979,SC31A_HUMAN,SEC31A,Protein transport protein Sec31A,7.54E+06,4.31E+06,4.50E+06,7.38E+06,6.97E+06,5.82E+06
O94985,CSTN1_HUMAN,CLSTN1,Calsyntenin-1,2.64E+07,4.28E+07,7.25E+07,5.53E+07,6.86E+07,5.25E+07
O94991,SLIK5_HUMAN,SLITRK5,SLIT and NTRK-like protein 5,,,265951,65368.2,,
O94992,HEXI1_HUMAN,HEXIM1,Protein HEXIM1,3.26E+06,1.83E+06,1.48E+06,1.56E+06,1.55E+06,2.19E+06
O95049,ZO3_HUMAN,TJP3,Tight junction protein ZO-3,710723,484281,635446,614842,1.06E+06,617817
O95071,UBR5_HUMAN,UBR5,E3 ubiquitin-protein ligase UBR5,698433,,502395,821134,1.05E+06,815703
O95084,PRS23_HUMAN,PRSS23,Serine protease 23,66735.8,421572,287037,249860,52080.7,164650
O95104,SCAF4_HUMAN,SCAF4,SR-related and CTD-associated factor 4,129701,,108442,96837.2,119351,73542.9
O95136,S1PR2_HUMAN,S1PR2,Sphingosine 1-phosphate receptor 2,2596.17,,,1735.4,,852.525
O95139,NDUB6_HUMAN,NDUFB6,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,,,,,,314780
O95149,SPN1_HUMAN,SNUPN,Snurportin-1,11426.8,,,10937.1,,8238.2
O95155,UBE4B_HUMAN,UBE4B,Ubiquitin conjugation factor E4 B,1.05E+06,,1.10E+06,927899,926938,714681
O95163,ELP1_HUMAN,ELP1,Elongator complex protein 1,2.62E+06,5.48E+06,3.41E+06,4.19E+06,5.13E+06,3.42E+06
O95164,UBL3_HUMAN,UBL3,Ubiquitin-like protein 3,68124.2,,247233,39302.3,66074.7,
O95166,GBRAP_HUMAN,GABARAP,Gamma-aminobutyric acid receptor-associated protein,1.19E+06,3.68E+06,1.29E+06,1.79E+06,2.06E+06,1.43E+06
O95171,SCEL_HUMAN,SCEL,Sciellin,1.07E+06,472227,,391619,,291213
O95183,VAMP5_HUMAN,VAMP5,Vesicle-associated membrane protein 5,1769.62,,,,,
O95197,RTN3_HUMAN,RTN3,Reticulon-3,5.28E+06,1.19E+07,1.97E+06,2.57E+06,1.87E+06,3.10E+06
O95199,RCBT2_HUMAN,RCBTB2,RCC1 and BTB domain-containing protein 2,26432.4,,,12491.3,,8900.69
O95202,LETM1_HUMAN,LETM1,Mitochondrial proton/calcium exchanger protein,9901.9,,,8010.76,,
O95208,EPN2_HUMAN,EPN2,Epsin-2,176385,305750,276331,213846,197061,227377
O95210,STBD1_HUMAN,STBD1,Starch-binding domain-containing protein 1,12962.2,,4914.33,9545.39,7393.82,16966.9
O95218,ZRAB2_HUMAN,ZRANB2,Zinc finger Ran-binding domain-containing protein 2,4.01E+06,1.90E+06,1.79E+06,1.33E+06,2.00E+06,3.07E+06
O95219,SNX4_HUMAN,SNX4,Sorting nexin-4,789470,,592104,1.00E+06,999951,713260
O95232,LC7L3_HUMAN,LUC7L3,Luc7-like protein 3,1.81E+06,957231,435985,690623,1.04E+06,955118
O95236,APOL3_HUMAN,APOL3,Apolipoprotein L3,,,,41725.5,,46205
O95248,MTMR5_HUMAN,SBF1,Myotubularin-related protein 5,2504.99,,5128.5,2203.84,,3962.29
O95249,GOSR1_HUMAN,GOSR1,Golgi SNAP receptor complex member 1,746026,,,318374,325841,
O95251,KAT7_HUMAN,KAT7,Histone acetyltransferase KAT7,3166.24,,,,,
O95260,ATE1_HUMAN,ATE1,Arginyl-tRNA--protein transferase 1,140132,,219401,116592,124904,174679
O95273,CCDB1_HUMAN,CCNDBP1,Cyclin-D1-binding protein 1,7221.36,25350.3,15968,5822.12,9365.31,7886.05
O95274,LYPD3_HUMAN,LYPD3,Ly6/PLAUR domain-containing protein 3,381501,1.28E+06,,196850,,
O95278,EPM2A_HUMAN,EPM2A,Laforin,,,,1.29E+06,,
O95292,VAPB_HUMAN,VAPB,Vesicle-associated membrane protein-associated protein B/C,2.99E+07,1.96E+07,1.43E+07,1.77E+07,2.27E+07,2.35E+07
O95294,RASL1_HUMAN,RASAL1,RasGAP-activating-like protein 1,2.57E+06,,1.61E+06,,,1.77E+06
O95295,SNAPN_HUMAN,SNAPIN,SNARE-associated protein Snapin,1.86E+06,1.51E+06,1.07E+06,1.98E+06,1.94E+06,2.28E+06
O95297,MPZL1_HUMAN,MPZL1,Myelin protein zero-like protein 1,29840.6,40699.8,46318.4,99917.9,20825.3,29991.5
O95299,NDUAA_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",14884.3,,,,,55786
O95302,FKBP9_HUMAN,FKBP9,Peptidyl-prolyl cis-trans isomerase FKBP9,2.46E+06,1.00E+06,720664,879976,1.36E+06,2.05E+06
O95319,CELF2_HUMAN,CELF2,CUGBP Elav-like family member 2,2.01E+06,6.85E+06,,361778,170015,179930
O95336,6PGL_HUMAN,PGLS,6-phosphogluconolactonase,3.72E+07,3.97E+07,3.54E+07,2.82E+07,2.36E+07,2.46E+07
O95340,PAPS2_HUMAN,PAPSS2,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2,165246,354137,161486,92791.4,280913,112256
O95347,SMC2_HUMAN,SMC2,Structural maintenance of chromosomes protein 2,1.87E+06,,2.42E+06,3.41E+06,5.20E+06,1.75E+06
O95352,ATG7_HUMAN,ATG7,Ubiquitin-like modifier-activating enzyme ATG7,3.02E+06,2.96E+06,2.73E+06,3.35E+06,3.94E+06,2.84E+06
O95359,TACC2_HUMAN,TACC2,Transforming acidic coiled-coil-containing protein 2,132153,,63347.5,101733,94901.6,81259.7
O95361,TRI16_HUMAN,TRIM16,Tripartite motif-containing protein 16,1.75E+06,2.67E+06,1.40E+06,1.60E+06,1.31E+06,1.63E+06
O95372,LYPA2_HUMAN,LYPLA2,Acyl-protein thioesterase 2,3.28E+07,3.09E+07,2.61E+07,2.95E+07,2.71E+07,1.96E+07
O95373,IPO7_HUMAN,IPO7,Importin-7,6.55E+06,6.39E+06,6.43E+06,6.99E+06,7.08E+06,6.57E+06
O95376,ARI2_HUMAN,ARIH2,E3 ubiquitin-protein ligase ARIH2,935476,777246,976893,619560,495074,711715
O95379,TFIP8_HUMAN,TNFAIP8,Tumor necrosis factor alpha-induced protein 8,1.30E+06,2.62E+06,2.34E+06,1.66E+06,2.30E+06,1.62E+06
O95391,SLU7_HUMAN,SLU7,Pre-mRNA-splicing factor SLU7,36577.8,,13352.4,25607.4,,
O95394,AGM1_HUMAN,PGM3,Phosphoacetylglucosamine mutase,7.55E+06,9.72E+06,8.38E+06,1.27E+07,1.12E+07,6.63E+06
O95396,MOCS3_HUMAN,MOCS3,Adenylyltransferase and sulfurtransferase MOCS3,1.05E+06,3.90E+06,1.91E+06,934085,929161,1.22E+06
O95400,CD2B2_HUMAN,CD2BP2,CD2 antigen cytoplasmic tail-binding protein 2,284901,,456841,647794,421720,509373
O95425,SVIL_HUMAN,SVIL,Supervillin,9.25E+06,2.86E+07,7.87E+06,5.64E+06,8.82E+06,6.68E+06
O95428,PPN_HUMAN,PAPLN,Papilin,59255.9,,160962,99903.6,139001,189685
O95429,BAG4_HUMAN,BAG4,BAG family molecular chaperone regulator 4,57442.3,,41831.3,44836.4,34005.3,37018.4
O95433,AHSA1_HUMAN,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,3.61E+07,2.50E+07,4.54E+07,4.22E+07,5.52E+07,3.45E+07
O95436,NPT2B_HUMAN,SLC34A2,Sodium-dependent phosphate transport protein 2B,6.45E+06,9.84E+06,1.38E+08,1.52E+07,3.30E+07,5.83E+06
O95445,APOM_HUMAN,APOM,Apolipoprotein M,6.56E+07,9.93E+07,6.60E+07,3.29E+07,1.21E+08,9.47E+07
O95453,PARN_HUMAN,PARN,Poly(A)-specific ribonuclease PARN,2.67E+06,,1.74E+06,2.55E+06,2.77E+06,2.81E+06
O95456,PSMG1_HUMAN,PSMG1,Proteasome assembly chaperone 1,370251,346930,297278,270482,283725,283390
O95466,FMNL1_HUMAN,FMNL1,Formin-like protein 1,1.14E+06,2.16E+06,899015,1.43E+06,1.48E+06,877339
O95470,SGPL1_HUMAN,SGPL1,Sphingosine-1-phosphate lyase 1,1.10E+06,,,1.05E+06,1.72E+06,1.33E+06
O95471,CLD7_HUMAN,CLDN7,Claudin-7,,,,3930.65,,
O95479,G6PE_HUMAN,H6PD,GDH/6PGL endoplasmic bifunctional protein,3.59E+06,2.84E+06,1.51E+06,1.89E+06,1.81E+06,3.24E+06
O95486,SC24A_HUMAN,SEC24A,Protein transport protein Sec24A,2.58E+06,,1.21E+06,3.04E+06,3.59E+06,2.57E+06
O95487,SC24B_HUMAN,SEC24B,Protein transport protein Sec24B,574517,,,741539,517372,692506
O95490,AGRL2_HUMAN,ADGRL2,Adhesion G protein-coupled receptor L2,205339,,782624,111499,201840,212091
O95497,VNN1_HUMAN,VNN1,Pantetheinase,1.34E+06,5.28E+06,3.00E+06,3.52E+06,2.20E+06,3.39E+06
O95498,VNN2_HUMAN,VNN2,Pantetheine hydrolase VNN2,,,278170,319870,,
O95502,NPTXR_HUMAN,NPTXR,Neuronal pentraxin receptor,20745.1,243410,,5777,,15498.8
O95503,CBX6_HUMAN,CBX6,Chromobox protein homolog 6,8274.76,,,,,
O95544,NADK_HUMAN,NADK,NAD kinase,197776,541701,91436.4,199798,194017,127992
O95551,TYDP2_HUMAN,TDP2,Tyrosyl-DNA phosphodiesterase 2,56521,,67829.7,42955,54369.1,57581.7
O95562,SFT2B_HUMAN,SFT2D2,Vesicle transport protein SFT2B,12385.5,,36022,21341.8,,6926.7
O95571,ETHE1_HUMAN,ETHE1,"Persulfide dioxygenase ETHE1, mitochondrial",270171,142253,67785.1,102075,97889.3,107532
O95573,ACSL3_HUMAN,ACSL3,Fatty acid CoA ligase Acsl3,21142.9,,,11958.9,17022.9,17716.6
O95602,RPA1_HUMAN,POLR1A,DNA-directed RNA polymerase I subunit RPA1,483024,,,14805.6,646705,440212
O95619,YETS4_HUMAN,YEATS4,YEATS domain-containing protein 4,182847,,,98380.9,,
O95628,CNOT4_HUMAN,CNOT4,CCR4-NOT transcription complex subunit 4,8264.51,,,12870.7,,12654.9
O95630,STABP_HUMAN,STAMBP,STAM-binding protein,739505,808502,1.22E+06,596665,772865,973699
O95671,ASML_HUMAN,ASMTL,Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein,1.53E+06,2.74E+06,1.99E+06,339414,1.48E+06,1.14E+06
